Bit,SMILES
373,[n]1:[cH]:[n]:[c]:[c](:[n]):[c]:1:[n]:[cH]
374,[c](:[c])(:[n])-[O]
375,[c](-[Cl])(:[cH]:[c]):[c](-[c]):[c]
376,[CH2](-[O]-[C])-[C](-[N])=[O]
377,[c]1(-[O]-[c](:[cH]):[cH]):[cH]:[cH]:[cH]:[cH]:[cH]:1
378,[n]
379,[n](:[cH]:[n]):[c](:[c]):[n]
380,[cH]1:[cH]:[cH]:[cH]:[c](:[o]):[c]:1:[cH]:[c]
381,[c](-[OH])(:[cH]:[c]):[cH]:[cH]
382,[CH](=[CH]/[CH])\[c](:[cH]):[o]
383,[n](:[cH]:[cH]):[cH]:[cH]
384,[cH](:[c]):[o]
385,[c](:[n])(-[NH]):[s]
386,[cH](:[cH]:[cH]):[c](:[c])-[O]
387,[NH](-[C])-[CH]
388,[CH](-[CH3])(-[CH]=[O])-[CH2]-[c](:[cH]):[cH]
389,[cH](:[cH]:[cH]):[cH]:[cH]
390,[c](:[cH]:[c])(-[c](:[cH]):[c]):[c](:[cH])-[Cl]
391,[cH]1:[cH]:[cH]:[cH]:[cH]:[c]:1-[O]-[c]
392,[CH3]-[C]
393,[c](:[cH])(:[cH])-[C]
394,[CH3]-[S]
395,[cH]1:[cH]:[c](-[Cl]):[c]:[cH]:[c]:1-[NH2]
396,[CH](-[CH2])(-[CH2])-[CH2]
397,[cH](:[cH]:[cH]):[c](:[c])-[S]
398,[c]1(-[O]-[CH](-[C])-[CH3]):[cH]:[cH]:[c]:[cH]:[cH]:1
399,[O](-[CH2]-[C](-[NH])=[O])-[C](=[O])-[c](:[cH]):[cH]
400,[c](=[O])(:[n](:[c])-[CH3]):[n](:[c])-[CH3]
401,[c](:[c])(:[n])-[O]
402,[cH]1:[cH]:[c](:[c]):[c]:[c](:[cH]):[c]:1:[cH]:[cH]
403,[NH](-[C](-[N])=[O])-[c](:[cH]):[cH]
404,[cH]1:[c](-[Cl]):[c](-[Cl]):[c]:[c](-[Cl]):[c]:1-[Cl]
405,[CH2]1-[O]-[C](=[O])-[c](:[cH]):[c]-1:[cH]:[cH]
406,[CH3]-[NH]
407,[N](-[c])(-[CH2])-[CH2]
408,[C](-[OH])(-[CH2]-[CH2])(-[CH2]-[CH2])-[c](:[cH]):[cH]
409,[c](:[n])(:[n])-[NH2]
410,[c](-[C](-[c])=[O])(:[c](-[C]):[c]):[c](:[cH])-[OH]
411,[n]1:[cH]:[n]:[c]:[c](:[n]):[cH]:1
412,[n](:[c])(:[c]):[n]
413,[cH]1:[cH]:[cH]:[c]:[c](-[NH]):[cH]:1
414,[c]1(-[N+](=[O])-[O-]):[cH]:[cH]:[c]:[c](-[C]):[cH]:1
415,[cH]1:[cH]:[cH]:[cH]:[c](:[cH]):[c]:1:[c](:[c]):[cH]
416,[c](:[c])(:[c]):[n]
417,[CH2](-[CH2]-[N])-[O]-[CH2]
418,[c](-[CH3])(:[cH]:[c]):[c](:[cH])-[NH]
419,[c](:[c])(:[cH])-[C]
420,[CH2](-[CH2]-[CH3])-[CH2]-[CH2]
421,[c](:[c])(:[c])-[F]
422,[c](:[cH]:[cH])(:[cH]:[cH])-[O]-[C]
423,[cH](:[cH]:[cH]):[c](-[C]):[c]
424,[cH](:[c](:[c])-[N+]):[c](:[cH])-[Cl]
425,[O](-[CH2]-[CH3])-[c](:[c]):[cH]
426,[c](:[cH]:[cH])(:[cH]:[n])-[C](-[NH])=[O]
427,[C](=[O])(-[CH2]-[CH2])-[c](:[cH]):[cH]
428,[n](:[c]):[cH]
429,[F]-[C]
430,[cH](:[c](:[cH])-[O]):[c](:[c])-[Cl]
431,[n](:[cH])(:[c])-[CH2]
432,[c](:[cH]:[cH])(:[cH]:[cH])-[O]-[P]
433,[NH2]-[c]
434,[c](:[c])(:[c])-[Br]
435,[c](:[c])(:[n])-[NH2]
436,[cH]1:[cH]:[cH]:[cH]:[cH]:[c]:1-[NH]-[C]
437,[cH](:[cH]:[cH]):[n]:[cH]
438,[CH](\[c])=[C]
439,[c](:[cH]:[cH])(-[C](=[O])-[O]):[c](:[cH])-[OH]
440,[cH]1:[cH]:[c](-[Cl]):[cH]:[c](-[Cl]):[c]:1-[O]-[CH2]
441,[O](-[c])-[CH2]
442,[c](-[OH])(:[cH]:[cH]):[c](:[cH])-[N+]
443,[cH]1:[cH]:[c](:[n]):[c]:[cH]:[c]:1-[O]-[CH3]
444,[O](-[C](-[CH3])=[O])-[c](:[c]):[cH]
445,[nH](:[c](:[c])=[O]):[c](:[n])=[O]
446,[cH](:[cH]:[cH]):[c](:[c])-[NH]
