molindx,Temperature,logS,rdf_eeq,rdf_alp,sdc,sdx,sa,dga,dgp,dgtot
2517,298.15,5.67675,-0.09999,3393.38048,2.4461,0.0,0.29,-0.2533,-7.6825,-7.9358
2518,293.15,8.15766,-0.69257,4326.96141,3.769,2.0085,3.3586,-3.0541,-63.443,-53.2987
2519,298.15,4.03835,-0.44478,8184.76999,4.6615,0.6527,2.4218,-5.1141,-47.5652,-50.9844
2520,298.15,7.23534,-0.54102,4734.56917,3.5164,2.1458,2.3189,-3.1248,-51.8069,-54.9317
2521,293.15,-0.82098,-0.58842,35010.62599,6.893,0.842,3.2427,-15.7494,-69.1519,-78.1407
2523,298.15,8.70045,-0.41704,2007.68041,1.8922,2.1679,2.4017,-3.7016,-48.0927,-51.7943
2525,298.15,4.45435,-0.37071,7260.45452,4.2651,1.0139,1.5947,-9.188,-37.3538,-46.5418
2527,298.15,5.99146,-0.54987,12082.04376,4.4043,2.0852,2.8299,-15.1091,-63.6731,-78.7822
2530,298.15,9.08772,-1.33217,12286.55925,6.2751,4.4415,6.4706,-3.2781,-126.5599,-109.2903
2531,298.15,6.09361,-0.85814,26740.43976,12.1542,0.0,4.8336,-2.7594,-99.8311,-64.19
2533,297.15,-0.04082,-0.58455,31663.16179,9.6522,0.0,2.1889,-1.3086,-48.2198,-41.8084
2534,293.15,5.0039,-0.8976,5022.05701,1.1137,3.2325,3.6525,-4.8755,-68.0823,-62.0446
2535,298.15,10.12663,-0.23301,4136.76925,2.7298,0.7882,1.0237,-0.7138,-24.2399,-24.9537
2536,373.15,9.35876,-0.4877,4737.91476,3.254,1.8954,2.0781,-3.1383,-46.5626,-49.7009
2538,298.15,6.34339,-0.50412,3256.54552,1.9919,1.8635,2.8762,-8.653,-52.4354,-54.0205
2540,298.15,5.03695,-0.8123,11657.99101,1.9286,3.5884,3.5651,-6.1441,-63.314,-63.0875
2541,298.15,11.24374,-0.92302,8479.07157,6.2595,2.3442,4.5453,-0.4155,-90.2029,-71.5441
2543,298.15,1.99891,-0.11048,7785.08064,3.971,0.0,0.0,-8.7001,-3.6057,-12.3058
2545,289.15,6.90766,-0.48457,8178.08802,5.7031,1.243,3.2416,-3.4036,-72.2148,-69.0149
2548,298.15,5.07517,-0.45184,10056.28905,5.5742,0.6131,2.303,-9.5161,-46.3469,-55.863
2549,303.15,0.95551,-0.31776,38440.06155,6.4705,0.0,1.6567,-26.6604,-40.0716,-66.732
2550,298.15,3.68888,-0.84756,12726.06898,4.488,1.9639,3.1599,-4.0931,-62.9818,-59.9185
2553,298.15,7.50107,-0.48909,7273.12245,5.7524,0.9123,2.3213,-0.7504,-52.2571,-48.1588
2554,298.15,7.63046,-0.63475,4039.58117,2.6881,2.6009,2.4882,-3.9818,-51.1846,-55.1663
2555,293.15,10.53651,-0.24567,2330.25224,2.579,1.042,1.2932,-2.4996,-31.307,-33.8065
2558,298.15,3.79474,-0.23036,6129.68194,4.2102,0.0,1.6289,-4.6561,-33.4601,-36.074
2559,298.15,6.79676,-0.61602,13124.88858,7.8799,0.9143,3.7304,-3.7991,-81.9525,-73.3955
2560,293.15,3.49651,-0.67161,20198.17536,8.4294,0.72,3.9459,-0.7016,-81.4474,-61.4046
2561,283.15,9.39266,-0.40195,4739.81539,4.4837,0.9735,2.114,-3.0016,-47.743,-47.0172
2562,298.15,4.47355,-0.20709,8143.32837,4.8763,0.0,0.8485,-7.8627,-21.2267,-29.0894
