molindx,Temperature,logS,rdf_eeq,rdf_alp,sdc,sdx,sa,dga,dgp,dgtot
1051,298.15,8.11169,-0.36514,3888.77561,2.3059,0.9152,1.9439,-0.9586,-38.1607,-32.8274
1052,293.15,12.24529,-0.70166,11590.59034,8.0382,0.0,4.2143,0.3072,-81.0074,-40.5448
1053,298.15,-0.91629,-0.09866,12801.0163,4.1615,0.0,0.7853,-4.0894,-22.1829,-26.2723
1054,298.15,7.60074,-0.5309,16025.51187,7.97,0.0,2.6452,-6.0843,-60.4026,-24.7231
1055,298.15,7.95174,-0.92791,8932.00409,4.3848,2.0877,3.6528,0.6881,-68.5122,-60.6409
1056,293.15,6.56386,-0.20496,4980.46574,4.2848,0.0,0.8494,-1.4724,-20.4537,-21.9262
1057,295.15,6.21461,-0.68482,11119.7168,6.3241,1.4691,3.1984,-4.5057,-64.6503,-69.1561
1058,298.15,-4.50432,-0.08123,16839.32797,3.6214,0.0,0.9735,-1.0221,-26.1031,-26.8157
1059,298.15,-4.1799,-0.09193,14757.42217,4.0235,0.0,0.9477,-2.5544,-25.8636,-28.418
1060,293.15,2.19711,-0.5607,22340.92752,7.9681,0.8693,3.4286,3.2626,-70.6181,-52.0572
1061,298.15,2.73437,-0.31818,11836.2398,6.4955,0.0,1.5041,-8.4453,-36.2516,-35.8117
1062,293.15,2.4247,-0.22486,9008.24101,3.7383,0.0,1.8033,5.2372,-38.1133,-25.2819
1063,293.15,3.43076,-0.79154,36684.56304,13.1398,0.0,4.3542,-3.4046,-98.6986,-51.7483
1064,294.15,8.19974,-0.44458,7292.25364,5.8085,0.9023,2.2355,0.5673,-50.8042,-50.2369
1065,298.15,1.09861,-0.30018,8958.08051,3.9595,0.0,1.9649,8.2607,-48.5466,-27.8121
1066,298.15,-13.66709,-0.06945,24221.37337,0.0,0.0,0.7549,-1.3815,-16.2471,-17.1119
1067,298.15,2.63901,-0.46109,25798.05869,9.4162,0.0,2.5854,-9.4505,-60.6999,-68.4871
1068,293.15,3.16548,-1.31215,15720.41105,4.8016,3.8522,4.1752,-4.4781,-85.1398,-76.5239
1069,298.15,4.56334,-0.6719,19530.62067,9.0289,0.0,2.92,8.7206,-65.9519,-6.3368
1070,293.15,10.27849,-0.15697,3271.98894,3.3717,0.0,0.7901,-3.3333,-15.5921,-18.9254
1071,298.15,2.39698,-0.84339,23493.46634,9.8982,0.8015,3.9867,-12.2627,-84.8292,-79.9441
1072,293.15,5.22036,-0.45268,12515.09769,5.5237,0.0,2.829,-6.7838,-50.8263,-47.2824
1073,298.15,5.08089,-0.40348,5440.74628,4.2898,0.8785,1.6069,-1.7963,-36.488,-38.2843
1074,298.15,3.89182,-0.9091,17609.67055,5.5957,1.2769,3.9762,-10.9789,-79.8158,-70.4296
1075,310.15,8.21608,-0.5325,10290.85434,6.5642,0.8831,2.4365,2.7232,-55.5281,-43.1071
1076,293.15,6.17379,-0.73969,12778.21405,6.7637,0.7255,3.1557,0.4472,-66.3953,-51.3035
1077,293.15,-5.2344,-0.06848,19126.97244,2.8163,0.0,0.8457,0.5122,-22.377,-21.1022
1078,298.15,4.91265,-0.34596,8092.69904,5.8808,0.0,1.5602,0.5562,-36.1646,-25.955
1079,303.15,-9.03952,-0.11302,22511.48664,2.5228,0.0,1.3076,1.7315,-31.2011,-28.3319
1080,298.15,7.17012,-0.3391,4498.87181,3.6674,0.0,1.8961,-5.8789,-43.5549,-38.3059
1081,293.15,8.3163,-0.82133,7749.73481,2.9198,5.2441,4.5262,-2.3521,-85.9928,-88.3448
1082,303.15,-6.84742,-0.12401,20063.6037,2.9534,0.0,1.3073,0.1992,-31.5627,-30.2003
1083,295.15,6.71027,-0.94606,8732.74946,5.5784,2.2033,4.1402,0.6211,-84.298,-72.3889
1084,298.15,-6.10575,-0.07007,19115.04372,2.9909,0.0,0.932,0.5122,-24.558,-23.4223
1085,293.15,10.40426,-0.18484,3376.19639,3.2495,0.0,0.8264,-0.9706,-15.5937,-16.5643
1086,298.15,-2.48531,-0.0985,12793.34285,4.1712,0.0,0.786,-4.0892,-22.2081,-26.2973
1087,303.15,-5.48889,-0.12954,20075.37116,2.9188,0.0,1.2805,0.2006,-31.0592,-28.7142
1088,293.15,3.68996,-0.29254,9719.83798,6.2684,0.0,1.9755,2.641,-46.3843,-31.9579
1089,293.15,6.55108,-0.33103,6093.93856,4.5246,0.8817,1.9409,-3.249,-41.5459,-42.2618
1090,298.15,2.92316,-0.31721,11361.86274,6.3924,0.0,1.7585,-9.7751,-41.7092,-45.1185
1091,298.15,10.16585,-0.2236,5479.05125,4.899,0.0,1.4231,-0.3378,-32.728,-28.9187
1092,295.15,-2.91652,-0.09147,14738.61792,4.0392,0.0,0.9487,-2.5548,-25.9013,-28.456
1093,298.15,4.39815,-0.05829,3705.7054,2.4739,0.0,0.526,0.1618,-14.5736,-14.4118
1094,298.15,3.54169,-0.14939,7610.95158,3.9074,0.0,1.2668,-2.443,-26.6286,-26.8958
1095,303.15,-7.23886,-0.12759,20003.54796,3.2912,0.0,1.4099,0.199,-34.2788,-32.638
1096,310.15,4.60517,-0.44463,9719.78709,6.2776,0.0,2.4582,-7.5414,-54.8702,-50.6577
1097,295.15,7.31322,-0.43532,7333.49078,5.4424,0.67,2.2288,-6.4796,-43.907,-50.3866
1098,303.15,4.06044,-0.34741,9519.93937,5.6257,0.0,2.1493,-1.7799,-47.8251,-22.5079
1099,295.65,9.40215,-0.32164,6676.36114,3.9223,1.1998,1.8344,0.3667,-38.554,-38.1873
1100,293.15,6.70319,-0.39843,6714.83951,4.8565,0.0,1.9401,-9.247,-41.9781,-42.3934
1101,298.15,6.41814,-0.35078,8821.76823,3.1893,1.1011,2.0835,1.5947,-47.0358,-42.0201
