molindx,MolarMass,SolvationEnergy,DipoleMoment,MolecularVolume,MolecularSurfaceArea,QXX,QYY,QZZ,HOMO,LUMO,gap,Temperature,logS
90,214.11,16.44312,2.989990107,126.922,214.392,-12.01657039,-3.025091836,15.04166222,-7.843585368,-0.982552224,6.861033143,298.15,3.71113
91,282.2524,50.6264,8.438419994,172.684,302.969,-11.07115305,3.737223056,7.333929991,-7.843544551,-2.836154424,5.007390126,298.15,7.69625
92,285.8982,34.60168,4.563658062,170.415,259.384,-12.16355526,14.70340042,-2.539845169,-7.836396116,-3.0166939,4.819702216,298.15,-3.04073
93,147.13,47.15368,4.858765584,117.389,193.908,-27.5792791,21.39365816,6.185620933,-7.835054594,-2.115784855,5.719269739,293.15,7.09008
94,201.5659,46.81896,1.86549686,129.589,212.78,-36.00420759,30.55172073,5.45248686,-7.8323008,-2.678297555,5.154003245,288.15,8.18872
95,159.14,56.14928,2.62231282,123.184,201.952,-53.59673359,37.10949494,16.48723865,-7.828493925,-2.128350263,5.700143662,303.15,6.80239
96,223.228,46.10768,4.475563335,161.528,277.066,37.56784631,-24.41314301,-13.1547033,-7.825707478,-2.090660298,5.73504718,293.15,9.51044
97,243.1324,50.96112,0.20896672,144.092,244.709,-23.66138937,6.100705201,17.56068417,-7.824213572,-3.038476626,4.785736947,293.15,7.69626
98,225.5544,29.53904,4.917576354,135.079,221.984,-16.78719572,13.48239329,3.304802438,-7.823337365,-2.556818247,5.266519118,293.15,6.49224
99,297.27,41.25424,1.376886215,174.991,306.577,8.33202211,-1.512218941,-6.819803169,-7.820975416,-2.604945145,5.21603027,298.15,-0.71335
100,201.5659,50.66824,4.712389175,129.684,213.495,25.45737685,-18.9443824,-6.512994448,-7.818308698,-2.74751601,5.070792688,298.15,9.17676
101,182.14,45.98216,9.954857878,124.027,210.863,-6.669581854,4.941677069,1.727904785,-7.816787581,-2.857569796,4.959217785,298.15,5.18739
102,86.1112,26.15,4.927119497,71.606,111.475,5.273558942,-3.215774198,-2.057784744,-7.813775279,-1.515894576,6.297880703,283.15,12.71685
103,212.21,311.37328,23.2003156,131.154,237.017,38.47400812,-26.79105037,-11.68295774,-7.812071845,-2.557599758,5.254472087,293.15,7.86327
104,274.2478,85.3536,9.216796875,155.517,269.078,28.99530325,-26.02064094,-2.974662315,-7.807750675,-2.59333785,5.214412825,285.15,7.20788
105,167.12,55.47984,1.88249867,113.674,190.936,34.32255593,-4.986082715,-29.33647322,-7.80685542,-1.868006282,5.938849138,298.15,6.90776
106,225.5544,44.60144,1.318071197,137.285,225.71,-14.17945328,13.34318745,0.836265823,-7.804292106,-2.152481877,5.651810229,293.15,6.54204
